iter	RMSE
0	0.1840029924
1	0.1799097798
2	0.1761523936
3	0.172632321
4	0.1691827765
5	0.1660217454
6	0.1630463912
7	0.1600109212
8	0.157565147
9	0.1542535229
10	0.1511115618
11	0.1482501342
12	0.1454089746
13	0.1426927382
14	0.1397310654
15	0.1369083713
16	0.1342116509
17	0.1318510786
18	0.1291710065
19	0.1264349083
20	0.1236722932
21	0.1210603567
22	0.118493063
23	0.1160212134
24	0.113386992
25	0.1106262803
26	0.1081889774
27	0.1062318876
28	0.1043573034
29	0.1024428351
30	0.1002252041
31	0.09826414505
32	0.09654658147
33	0.09464411951
34	0.09275337
35	0.09064774623
36	0.08894167542
37	0.08727621631
38	0.08532839553
39	0.08354795808
40	0.08219417417
41	0.08045407535
42	0.07876543289
43	0.07757244701
44	0.07600534618
45	0.0747215725
46	0.073119232
47	0.07184123952
48	0.07065533063
49	0.06914782122
50	0.06792278267
51	0.0667392276
52	0.06535656591
53	0.06399138588
54	0.06289760348
55	0.06169707412
56	0.06030904148
57	0.05920705443
58	0.05798274933
59	0.05707543699
60	0.05590790888
61	0.05475584126
62	0.05371372202
63	0.05278967135
64	0.05190576095
65	0.05095166347
66	0.0501058438
67	0.04930634357
68	0.04837049679
69	0.04753352984
70	0.04666037832
71	0.04582195904
72	0.0449890686
73	0.04417745667
74	0.04336692886
75	0.04263778246
76	0.04189068607
77	0.04116778152
78	0.04041636791
79	0.03981694514
80	0.03899825906
81	0.03845134413
82	0.03782546677
83	0.03718823288
84	0.03665802011
85	0.03609632876
86	0.0355092822
87	0.03499205446
88	0.03431464222
89	0.03376361331
90	0.03317442631
91	0.03263280262
92	0.03213693103
93	0.03164445539
94	0.03119218132
95	0.03070590287
96	0.0302024559
97	0.02978948277
98	0.029361618
99	0.02890431553
100	0.02843941932
101	0.02794182544
102	0.02755740804
103	0.02719913262
104	0.02679040876
105	0.02639806505
106	0.02599618686
107	0.0256727639
108	0.02523512523
109	0.02487292621
110	0.02451908684
111	0.02419449769
112	0.02385638019
113	0.02351071888
114	0.02313702762
115	0.02279971498
116	0.02248197829
117	0.02219579957
118	0.02191188772
119	0.02159022481
120	0.02136116338
121	0.02107543581
122	0.02078776544
123	0.02051538588
124	0.0202803861
125	0.0200125146
126	0.01978360131
127	0.01954115738
128	0.01932906875
129	0.01910440982
130	0.01886056947
131	0.01867576902
132	0.01844530012
133	0.01820343081
134	0.01796812288
135	0.01776649772
136	0.01756959139
137	0.01738557447
138	0.01720194585
139	0.01701811754
140	0.01683756352
141	0.01665421575
142	0.0164574322
143	0.01627025508
144	0.01608917239
145	0.01591129833
146	0.0157134939
147	0.01557584626
148	0.01540103375
149	0.01525452967
150	0.01508526739
151	0.01492711279
152	0.01477212215
153	0.01461893389
154	0.01448207639
155	0.01434361729
156	0.01420892882
157	0.01405734776
158	0.01390909968
159	0.01380222571
160	0.01367072211
161	0.01353606624
162	0.01340156776
163	0.01325824665
164	0.01313221593
165	0.01301085936
166	0.01288184847
167	0.01278680614
168	0.01269103648
169	0.01257667234
170	0.01247423151
171	0.01237289867
172	0.01226839356
173	0.01215034085
174	0.01204486656
175	0.01195620935
176	0.01185994231
177	0.01173494322
178	0.01161811453
179	0.01150567224
180	0.01140134328
181	0.01131004158
182	0.01122284522
183	0.01114301403
184	0.01105225805
185	0.01094868981
186	0.01087488353
187	0.01078811835
188	0.01069396871
189	0.01060721406
190	0.01053309139
191	0.01043869234
192	0.01037194465
193	0.01027751516
194	0.01018193013
195	0.01011709449
196	0.0100433961
197	0.009961787419
198	0.009887909906
199	0.009816489913
200	0.009744779487
201	0.009671745328
202	0.009589021775
203	0.009526086616
204	0.009449409813
205	0.009384826366
206	0.009323418134
207	0.00924699797
208	0.009178524701
209	0.009100687222
210	0.00903833014
211	0.008972328557
212	0.008900424508
213	0.008842244845
214	0.008788205092
215	0.008716654626
216	0.008650673129
217	0.008587907561
218	0.008513799662
219	0.008457443285
220	0.008407142166
221	0.008344888926
222	0.008284716147
223	0.008231068423
224	0.008176636444
225	0.008133405643
226	0.00809321387
227	0.008040551806
228	0.007986365059
229	0.007950756138
230	0.007909644259
231	0.007856296433
232	0.007825958938
233	0.007771403021
234	0.007717722223
235	0.007665429491
236	0.007622801654
237	0.00757660662
238	0.007527726789
239	0.007497454824
240	0.007472165316
241	0.007448876127
242	0.007396845193
243	0.007346848665
244	0.007319290353
245	0.007277095235
246	0.007230932126
247	0.007182433542
248	0.007134669507
249	0.007091892987
250	0.007051865643
251	0.007006974096
252	0.006958760696
253	0.006914786862
254	0.006875818768
255	0.006836113587
256	0.006815403603
257	0.00678502984
258	0.006744810945
259	0.006708460357
260	0.006677621675
261	0.006642177576
262	0.006609657745
263	0.006576535455
264	0.006535759689
265	0.006494401648
266	0.006463270893
267	0.006424681886
268	0.006403025437
269	0.00636165574
270	0.006324414805
271	0.006292545229
272	0.006244077609
273	0.006213801103
274	0.006192901565
275	0.006157728702
276	0.006131145985
277	0.006097759613
278	0.006074023025
279	0.006044423278
280	0.006013518982
281	0.005990625957
282	0.005962385477
283	0.005936507461
284	0.005904634383
285	0.005879535696
286	0.00586209292
287	0.005828402442
288	0.005805817368
289	0.0057762671
290	0.005755826106
291	0.005721712985
292	0.005693651083
293	0.005679414166
294	0.005660972886
295	0.0056407188
296	0.005620564703
297	0.005591756897
298	0.005567823722
299	0.005541908415
300	0.005515061889
301	0.00549895847
302	0.005485149466
303	0.005471865861
304	0.005446565442
305	0.005426411565
306	0.005410591995
307	0.005393067896
308	0.005373422378
309	0.005356511914
310	0.005339147211
311	0.005327228164
312	0.005312461662
313	0.005283115755
314	0.00526895759
315	0.005246378974
316	0.00523064944
317	0.005209418879
318	0.005191488502
319	0.005169791674
320	0.005157787737
321	0.005149710784
322	0.005133823871
323	0.005108450242
324	0.005080709653
325	0.005063877274
326	0.005051898039
327	0.005039454408
328	0.005011162463
329	0.00498829934
330	0.004971222387
331	0.004955468318
332	0.004928897726
333	0.004915158438
334	0.004904221128
335	0.004896272796
336	0.004878675075
337	0.004867130204
338	0.004852765737
339	0.004839208679
340	0.004825314667
341	0.004804718468
342	0.004788689978
343	0.004771916076
344	0.0047423506
345	0.004725271152
346	0.004708669343
347	0.004696490304
348	0.004678180416
349	0.004657705809
350	0.004649444448
351	0.004639652953
352	0.004612371444
353	0.004600205485
354	0.00458273091
355	0.004576846044
356	0.004561892661
357	0.004550794043
358	0.004534940284
359	0.004526463824
360	0.004518513994
361	0.004503000467
362	0.004479750785
363	0.004460536607
364	0.004436444738
365	0.004409950819
366	0.004393812966
367	0.0043717742
368	0.004345912594
369	0.00433894677
370	0.004330079411
371	0.004308337975
372	0.004301227432
373	0.004286151845
374	0.004275188729
375	0.004257394889
376	0.004249553583
377	0.004242035312
378	0.004225283245
379	0.004207877261
380	0.004203665089
381	0.004184523445
382	0.00417562201
383	0.004169970501
384	0.00416198825
385	0.004143347811
386	0.004129485071
387	0.004110406592
388	0.004105250695
389	0.004091781383
390	0.004083000434
391	0.004071354105
392	0.004064367673
393	0.004044495381
394	0.004040896746
395	0.004025734313
396	0.004019497697
397	0.004012553499
398	0.00399844873
399	0.003981308672
400	0.003963371735
401	0.003955227694
402	0.00394818727
403	0.003941980453
404	0.003937644105
405	0.003918407529
406	0.003911426677
407	0.003896491601
408	0.003879691634
409	0.003861108892
410	0.003850532645
411	0.003837436283
412	0.003821943731
413	0.003800184791
414	0.003785321478
415	0.003771953003
416	0.003754191658
417	0.003744776049
418	0.003736193672
419	0.003732599406
420	0.003720063655
421	0.003713058561
422	0.00370844751
423	0.003697785839
424	0.00369222284
425	0.003675316436
426	0.003661919779
427	0.003658463899
428	0.003647030003
429	0.003641849684
430	0.003631245444
